标题,关键字
基于云服务器的润滑油自动加注机设计,"['润滑油', '自动加注', '云服务', '消息队列遥测传输', '设计']"
LabelMe标注核对系统的设计与实现,"['核对标签', 'Django', 'OpenCV', 'LabelMe', 'SQLite']"
基于Django的水果销售系统设计与实现,"['Django框架', '数据持久化', '系统设计']"
基于Django的图书推荐系统设计,"['推荐系统', 'Django框架', 'SQLite数据库', 'Vue框架']"
基于前后端分离算法的ACM智能管家系统,"['文本分词', '前后端分离', 'Django', 'Electron', 'Vue']"
基于Django框架的文件分享平台的设计与开发,"['Django', 'Python', 'Web', '软件开发', '互联网', '网络安全']"
影视选角推荐系统的研究与实现,"['推荐系统', '影视选角', '评分预测', '艺人画像', '数据挖掘']"
基于深度学习的文档敏感信息检测技术研究及应用系统设计,"['敏感信息', '目标检测', '命名实体识别', '软件设计']"
基于Django框架的中医药文化传播网络平台技术,['nan']
基于MongoDB的地震勘探数据管理系统的设计与实现,"['地震勘探数据', '分布式存储', 'B/S架构', '管理系统']"
基于树莓派车载平台网页实时动态表情识别系统,"['树莓派', 'Django', 'OpenCV', '表情识别', '运动物体检测', '人脸相似度识别', '识别器训练']"
Python语言在Web数据挖掘中的应用,"['Python', 'Web', '数据挖掘']"
基于Django的施工数据共享平台设计与实现,"['数据共享', 'Django', '施工数据']"
Python语言的Web开发应用分析,"['Python语言', '编程优势', 'Web开发', '应用策略']"
Apriori改进算法和Django框架在高校图书精准推荐系统中的应用,"['精准推荐', 'Apriori改进算法', 'Django框架', '大数据分析']"
基于混合推荐技术的新闻推荐系统,"['推荐系统', '推荐算法', '混合推荐技术', 'Django', '数据挖掘']"
基于fasttext的船舶工况点分类系统研究,"['自然语言处理', 'TF-IDF算法', 'fasttext算法', '文本分类']"
基于时空图卷积网络的交通流量预测,"['智能交通', '车流量', '图卷积', '时空特征', 'Django']"
计算机科学技术在特殊航材的时寿监控系统的应用研究,"['航材', '时控件', '计算机科学技术', '监控']"
基于大数据的高校教学管理系统设计,"['大数据', '教学管理', '信息存储']"
面向孕幼健康的室内环境污染监测平台设计与实现,"['孕幼健康', '微信公众平台', '室内环境监测', '新闻推荐']"
基于大数据分析的气味识别,"['气味刺激性', '化学分子描述符', '特征选取', 'Stacking']"
基于卷积神经网络的花卉识别的研究与实现,"['ResNet18', '注意力机制', '空洞卷积', '花卉识别', '深度学习']"
基于Django框架的糖尿病预测系统的设计与实现,"['糖尿病', '机器学习', 'XAR-Stacking融合模型', 'Django框架', '预测系统']"
大数据专业WEB开发技术教学研究,"['大数据专业', 'WEB开发', '前后端分离', '教学研究']"
智慧人力资源管理平台研究与设计,"['人力资源管理', '云平台', '内容推荐', 'Django', 'MySQL']"
基于UDP通信的妊娠母猪饲喂信息系统研究,"['妊娠母猪', '智能化', '物联网', '数据管理', '智慧农业']"
基于冬奥会网络文本的命名实体识别系统的设计与实现,"['2022冬奥会', '主题爬虫', '命名实体识别', 'BERT-BiLSTM-CRF', 'Attention']"
南京电信区级分公司人力资源管理系统的设计优化与实现,"['人力资源管理', '系统优化', '服务调用', '移动办公']"
基于Django的加速器信息管理系统设计,"['Django', 'MongoDB', '信息管理系统', '数据库集群']"
基于Django的冠脉造影血管标注系统,"['Django', '冠脉造影', 'U-Net++', '血管标注']"
浅析Web开发工具Django的MVC架构,"['Django', 'MVC', '架构']"
基于CNN的混凝土表面损伤识别系统的设计与实现,"['卷积神经网络', '图像预处理', '表面损伤识别系统', 'Django', 'SQLite数据库']"
基于Django的文本情感分类系统设计与实现,"['Django框架', '双向长短时记忆网络', '自注意力机制', '情感分类']"
基于Django的软件推荐平台设计,"['编程软件', '个性化推荐', '软件标签', '软件热度', '软件相似度']"
基于django的产品检验文档处理系统的设计与应用,"['Python', '文档处理系统', 'Django框架', 'SQLite数据库']"
基于Django框架的量化交易系统设计,"['Django', '可视化', '大数据处理']"
Django对MVC模式的发展及其在CRISPRlnc数据库中的运用,"['MTV模式', 'Django框架', 'lncRNA', 'CRISPR/Cas9']"
仿真GPR数据管理系统设计,"['GprMax仿真数据', 'B/S', 'Django']"
Python脚本语言的Web开发应用探究,"['Python', '脚本语言', 'Web开发', '应用']"
基于网络爬虫的城市天气服务系统设计与实现,"['网络爬虫', '爬虫', 'Django', '天气', 'ECharts']"
基于Django框架的web项目开发研究,"['Django', 'Python', 'Web项目']"
沪港通资金流向可视化系统的设计与实现,"['Django', '大数据', '沪港通', 'Python', '软件工程']"
基于Django的就业推荐系统的设计与实现,"['就业推荐', 'Django', 'Python', 'MySQL', '大数据']"
自动化立体仓库与管理系统产品入库设计,"['立体仓库', '自动化', 'Django', '产品入库']"
WRF模式气象数据可视化平台设计与实现,"['可视化平台', '气象数据', 'WRF模式', 'NetCDF格式', '数据可视化', '数据分析']"
基于高德地图API的路段车速预测研究,"['车速预测', '高德地图', 'PyQt5', 'Django', 'ARIMA', 'Python']"
高中人工智能课程教学与实验平台,"['中学信息课', '人工智能', '教学平台', 'Kubernetes', 'Docker']"
基于Django的校友在线平台的设计与实现,"['校友在线平台', 'Django', 'Python', '数据处理']"
基于数据挖掘的脱硫数据分析系统的设计与实现,"['脱硫监测', '数据挖掘', '数据分析']"
弹目编号识别算法研究及系统实现,"['导弹', '文本识别', '卷积神经网络', '循环神经网络', '数据集']"
基于Django的在线学习系统设计与实现,"['Django框架', '在线学习', 'Python语言']"
基于树莓派的地震观测台站监控系统设计,"['智能监控', '树莓派', 'ESP8266', '地震监测站', 'Python', 'Arduino']"
贵州农产品交易网站的开发与设计,"['农产品', '电子商务', 'Python', 'Django', 'Vue', 'MySQL']"
基于Python的少儿编程线上教育平台设计与实现,"['少儿编程', '编程教育', '在线直播', '视频播放', '学习平台']"
构建烟机设备电气修理资料的信息化平台,"['信息化平台', 'MS系统', 'Django']"
基于SaaS模式的云农平台的设计与搭建,"['SaaS平台', '农业信息化', '农业现代化', '滞销']"
基于Pylinac的放射治疗QA数字化分析系统,"['放射治疗', '直线加速器QA', '数字化系统', 'Pylinac库']"
深入终端  摩市调查之踏板车型,['nan']
大学生创新创业项目管理系统的设计与实现,"['创新', '创业', '项目管理', 'Python', 'MySQL']"
基于知识图谱的上市公司问答系统的设计与实现,"['知识图谱', '问答系统', '分布式系统', '自然语言处理']"
基于Django框架的无人超市会员系统的开发及应用,"['可视化', '数据分析', '会员管理系统']"
基于Django框架的社交电商系统的开发与实现,"['社交电商', 'Django框架', 'MySQL数据库', '微信小程序']"
基于工作流的D公司的协同办公系统的设计与实现,"['协同办公系统', '工作流', 'UML', 'Django']"
基于协同过滤的高校图书馆个性化图书推荐系统,"['协同过滤', 'Python', 'Django', '皮尔逊相似度']"
基于Django框架的考古书店官方网站的设计与实现,"['电子商务', '考古书店', '官方网站', 'Django', 'MTV']"
基于机器学习的混合电影推荐系统的设计与实现,"['协同过滤', 'DNN', '混合推荐', 'Django']"
网课学习资源个性化推荐系统设计与实现,"['个性化推荐', 'MOOC', 'Django', '用户特征', '相似度']"
基于Django框架的音乐推荐系统的设计与实现,"['音乐推荐', 'SVD', 'Django框架', '前后端分离', '面向对象']"
基于新零售用户的运营投放系统的设计与实现,"['新零售', '用户分析管理', '人群圈选', '投放管理']"
地铁场景下的人群计数关键问题研究,"['人群计数', '地铁场景', '目标检测', '深度学习', 'YOLO v4', 'Django']"
中职移动电子商务课程知识图谱的构建与应用研究,"['中职《移动电子商务》课程', 'neo4j图数据库', '知识图谱']"
基于PyEcharts的尾气排放数据可视化监控平台构建及应用分析,"['数据可视化', '实时监控', 'PyEcharts', '尾气排放', '数据分析']"
基于Django的精准扶贫系统的设计与实现,"['信息化', 'Django框架', 'SQL Sever数据库', '精准扶贫']"
基于Python语言的钢铁企业管理平台开发与应用,"['Django框架', '管理平台', 'Python语言']"
基于Django的产品检验文档处理系统的主要功能实现,"['Django', 'Python', 'SQLite数据库', '文档处理系统']"
村镇财务管理云平台的设计与实现,"['村镇财务管理', '前后端分离', 'DRF', 'Vue.js', '云平台']"
基于Django的实验室管理平台的设计与实现,"['Django', '高校实验室管理', 'Redis', 'Apriori']"
设备巡检信息管理系统设计与实现,"['输电线路设备', '信息化管理', '无纸化作业', 'HTML5', '巡检系统']"
基于XGBoostStacking集成学习的贷款违约预测模型研究与应用,"['贷款违约预测模型', '金融贷款数据', 'XGBoost算法', 'Stacking算法']"
基于空间系统动力学的我国城市群网络演化特征研究,"['空间系统动力学', '经济仿真', '引力模型', '社会网络分析', '城市群演化']"
基于深度学习的商品个性化推荐系统设计与实现,"['个性化推荐', '协同过滤', 'DeepFM', 'NeuMF']"
面向Android恶意应用静态检测方法研究,"['Android恶意应用', '特征选择', '不平衡学习', '对抗样本', '对抗检测']"
食品安全信息系统的设计与实现,"['食品安全信息系统', '食品信息资源库', 'Scrapy-redis', 'Elasticsearch', 'Uni-app', 'Django']"
使用智能策略优化的电子商务系统设计与实现,"['电子商务系统', '强化学习', 'Django框架', 'Redis数据库']"
旅行社综合业务管理云平台的设计与实现,"['旅行社', 'DRF框架', '业务管理云平台', '前后端分离']"
基于机器学习算法的地铁交通环境振动数据库预测模型研究,"['地铁', '环境振动', '数据库', '机器学习', '周期性有限元-无限元模型', '预测方法']"
在线编程平台直播教学系统的设计与实现,"['音视频直播', '流媒体', '在线编程', '学习行为分析']"
电动出租车轨迹数据可视分析系统研究与实现,"['电动出租车', '轨迹数据可视化', '聚类分析', '特征提取']"
基于学生学习过程的注意力检测系统设计与实现,"['卷积神经网络', '专注度评价', '微表情识别', '头部姿态估计']"
基于深度学习的机舱火焰识别技术研究,"['船舶机舱火灾', 'Unity粒子系统', '深度学习', '图像识别', 'Django']"
纸餐具生产车间布局与信息管理系统研究,"['布局', 'SLP', '信息管理', 'Vue', 'Django']"
消费者评价的文本学习方法及其实证研究,"['情感分析', 'K近邻算法', '随机森林', '长短期记忆网络', 'Django框架']"
基于情感分析与注意力机制的股票预测研究,"['股票预测', '情感分析', '注意力机制', '循环神经网络']"
