标题,关键字
地质勘查数据采集系统的设计与实现,"['地质勘查', '数据采集', '质量监管', 'SSM框架', 'SpringBoot']"
旅游心得分享平台的研究与设计,"['旅游心得', '分享平台', '协同过滤', 'SSM']"
基于图神经网络的个性化推荐,"['推荐系统', '图神经网络', '情境感知推荐系统', '自监督学习', '采样软最大化损失函数']"
基于回归预测的在线水质监测系统,"['水质监测', 'SSM', 'React', '预测']"
基于协同过滤的宠物用品在线购物系统的设计与实现,"['图卷积网络', '协同过滤', 'LightGCN', 'SSM']"
交通物联网设备管理平台的设计与实现,"['交通物联网设备', '交通设备管理', 'SSM']"
基于不确定性度量的单通道语音分离算法研究,"['语音分离', '不确定性度量', '噪声鲁棒', '神经网络']"
网页游戏平台的管理与设计,"['网站开发', '游戏体验平台', '游戏人才培养', 'JavaScript', 'SSM']"
基于SSM框架的网上招聘系统设计与实现,"['网上招聘系统', 'SSM', 'MySQL']"
智慧园区物业电子服务系统设计与实现,"['智慧园区', '园区管理', 'SSM', 'B/S架构']"
基于集成学习的大学生心理健康服务系统的设计与实现,"['集成学习', '心理健康', '随机森林', '学习策略']"
装备器材供应保障信息系统设计与实现,"['器材供应保障', 'SSM', 'B/S架构', 'MySQL']"
基于SSM框架的列车智能调试平台的设计与开发,"['列车调试', '智能', '管理效率', 'SSM框架']"
基于SSM的在线影院网站的设计与实现,"['在线影院', 'Spring+SpringMVC+Mybatis框架', '轻量级框架']"
基于SSM框架的客户关系管理系统的设计与实现,"['客户关系管理', 'SSM框架', '系统测试']"
基于SSM框架的心血管外科护理信息自动管理系统设计,"['SSM框架', '心血管疾病', '外科护理信息', '管理系统']"
基于SSM框架的3D打印云服务平台设计与实现,"['SSM框架', '3D打印', '云服务平台']"
基于Spark的地震数据处理与分析系统设计与实现,"['地震数据', 'Spark框架', 'SSM框架', '防震避震']"
基于图神经网络的个性化推荐,"['推荐系统', '图神经网络', '情境感知推荐系统', '自监督学习', '采样软最大化损失函数']"
基于SSM的电子书架微信小程序的设计与实现,"['SSM', '电子书架', '微信小程序', 'APP设计']"
基于分布式架构的网上商城的开发与设计,"['分布式架构', '网上购物', 'Dubbo']"
基于SSM框架的学生档案管理系统的设计与实现,"['学生档案管理系统', 'SSM', 'B/S']"
基于Android智设校园O2O微任务App的设计与实现,"['MVC设计模式', 'SSM框架', 'O2O', '四层架构', '智慧校园']"
基于鞋载惯导的PDR定位系统设计与实现,"['物联网', 'STM32', 'MQTT', 'SSM', '行人导航算法']"
基于SSMVUE框架的楼宇电能综合管控系统,"['楼宇电能综合管控系统', 'Java', 'SSM+VUE架构', '节能减排']"
智慧物业管理系统的设计与实现,"['智慧物业', 'SSM框架', 'vue-element-admin']"
基于SSM框架的会议管理信息系统设计与实现,"['SSM架构', '会议系统', '无纸化', 'JeeSite框架', 'MVC框架']"
基于物联网的雷达小车测流系统设计,"['物联网', '雷达测流', '流量计算', 'Nginx', 'SSM框架', 'Tomcat']"
SSMHADOOP框架的高校学生手机用户信息大数据可视化研究,"['高校学生手机品牌信息', '大数据', 'SSM', 'Hadoop', 'Spark', '可视化']"
基于SSM的政府数据治理联盟链框架构建,"['软系统方法论', '跨部门', '联盟链', '数据治理', '数据融合']"
基于Java的煤矿风险预警与防控系统设计,"['煤矿安全', '风险预警', '防控', 'Java语言']"
基于SSM的水质在线监测与数据分析,"['SSM框架', 'Modbus协议', 'TCP/IP协议', '数据预测分析', '巢湖']"
果蔬类农产品质量溯源系统研究与实现,"['质量溯源', 'B/S模式', 'SSM', 'JSP']"
基于Java的增值平台的设计与实现,"['Java', '增值平台', 'SSM框架', 'AngluarJS']"
光学二等水准外业数据采集系统的设计与实现,"['数据采集系统', '外业数据', '光学二等水准测量', 'SSM软件框架']"
基于SSM框架整合的客户服务系统设计和实现,"['SSM框架技术', '客户服务', '协同工作平台']"
基于SSM的临床医师模拟考试软件设计开发,"['SSM框架', '在线模拟考试', 'MYSQL', 'Layui', 'Apache Shiro技术']"
个人健康档案管理系统设计与开发,"['个人健康档案', 'SSM框架', '需求分析', '系统设计']"
基于SSM框架城市水体治理工程案例信息系统设计与实现,"['黑臭水体', '城市水体治理工程案例管理信息系统', 'SSM整合框架']"
基于web的电竞陪玩系统的设计与实现,"['WEB', 'SSM框架', '电竞直播', '网站设计', 'JSP']"
智能井盖锁云端监测管理系统设计与实现,"['功能井', '物联网', 'SSM框架', '云服务器', '数据库']"
基于SSM框架的学生综合测评系统的设计与实现,"['高校综合测评', 'SSM', '管理系统']"
校园微代服务平台的研究与实现,"['校园服务平台', '微信小程序', '应用开发', '异步处理']"
基于SSM的C微课堂在线实验平台的设计与实现,"['SSM', '在线学习平台', '在线编译']"
基于Java Web的毕业设计选题系统设计与实现,"['选题系统', 'Java Web', '多部门', 'SSM框架']"
基于SSM架构的物流公司信息管理系统的设计,"['SSM架构', '物流', '用例图', '信息管理']"
基于SSM框架的智能驾校系统的设计与开发,"['微信小程序', 'SSM', 'SpingBoot', 'MySQL']"
植物图像管理系统设计与实现,"['植物图像', '图像管理', 'jQuery框架', 'MySQL数据']"
基于SSM框架的大数据个性化推荐系统设计,"['SSM框架', '大数据', '个性化推荐']"
基于SSM的党建管理系统设计与实现,"['科研院所', '党建', '信息化', 'SSM']"
医院能源预测系统的设计与应用,"['医院能源', 'SSM框架', '灰色预测模型', '趋势波动']"
基于SSM框架的高校新生预报到系统的设计与实现,"['新生预报到系统', 'SSM框架', 'MySQL', '信息化管理']"
基于微服务架构的农产品溯源系统优化,"['溯源', '微服务', '系统优化', '响应时间', '农产品']"
关于协同过滤推荐系统的实现与应用,"['自习室系统', '协同过滤', 'SSM框架', 'Mahout']"
继保压板状态图像识别与核对系统设计和实现,"['继电保护压板', '图像识别', '自动核对系统', 'YOLO', 'Spring框架', 'VueJS']"
红色文化遗产数字化保护平台的设计与实现以四川革命老区为例,"['SSM', '红色文化遗产', 'MYSQL', '数字化']"
基于流程可配置的LNG长输管线建造质量管控系统研发,"['质量管理', '质量控制', '管理信息系统', 'SSM框架']"
典型Java Web开发框架模型的研究,"['Java Web框架开发', 'MVC分层', 'JSP/Servlet', 'SSH', 'SSM']"
基于SSM框架的互联网多元监管下构建医疗设备质量控制管理服务平台研究,"['医疗设备', '互联网+', '质量控制', 'SSM框架', '管理服务平台']"
智慧农业综合信息服务系统的设计与开发,"['智慧农业', 'SSM框架', 'MySQL数据库', '图像识别']"
基于SSM的科研室管理系统的研究与设计,"['SSM框架', 'SpringMVC', '科研室管理系统', '资源组织', '虚拟教师']"
浅论SSM框架在构建微农信息服务中的应用,"['农业', '农产品', '信息技术', '移动开发', '数据持久化']"
基于SSM框架的创新创业申报系统的构建以六盘水师范学院为例,"['B/S架构', 'SSM', 'MySQL', '项目申报']"
面向心理健康分析的社交网络数据采集系统,['nan']
基于SSM框架的高校毕业论文管理系统的设计与实现,"['管理系统设计', 'MVC模式', 'SSM框架']"
基于遗传算法的在线考试系统设计与实现,"['在线考试', '智能组卷', '遗传算法', 'SSM框架']"
基于SSM框架的合租系统设计与实现,"['合租系统', 'SSM框架', 'MySQL', 'Bootstrap', '个性化服务', 'B/S结构']"
高校论坛管理系统的设计与开发,"['SSM框架', '校园论坛', 'Jquery', 'AJAX', '逻辑处理']"
基于JAVA编程的图书馆管理系统设计与研究,"['图书馆', 'Java', '图书馆管理系统']"
基于JavaWeb的研究生教务管理系统的设计与实现,"['研究生管理系统', 'SSM框架', 'MySQL']"
基于轨道交通的个性化信息推送系统,"['轨道交通', '个性化服务', '信息推送']"
基于SSM的线上教育系统设计与实现,"['线上教育', 'SSM框架', 'VUE框架', 'B/S结构']"
基于Spark的气象数据处理与分析系统的设计与实现,"['Spark技术', '气象数据', 'SSM框架', '网络爬虫']"
校园跳蚤市场,"['SSM框架', '校园二手交易', 'MySQL']"
基于SSM框架智慧养老系统设计,"['智慧养老', 'SSM', '实时定位', '电子围栏']"
超润湿性荷电分离材料的制备及其对水包油型乳液的分离研究,"['超润湿性', '破乳', '电荷屏蔽', '阴/阳离子表面活性剂', '油水分离']"
基于Android的融媒体监管系统设计,"['Android', 'SSM框架', '融媒体', '客户端', '监测监管']"
结合自监督学习的多任务文本语义匹配方法,"['自监督学习', '文本语义匹配', '多任务学习']"
基于Hadoop的购物行为分析系统的设计与实现,"['Hadoop技术', 'SSM框架', '购物行为', '大数据技术']"
基于SSM框架的网络资源共享平台的研究与实现,"['SSM框架', '分享平台', '博客系统', 'MVC模式', '设计']"
基于SSM的气象监测系统的设计与实现,"['SSM', 'STM32', 'Vue', '气象', '数据库']"
基于SSM框架的医院感染信息实时监测系统设计与实现,"['SSM框架', '医院感染监测', 'B/S模式', 'Java']"
智慧教育背景下的课程资源知识库平台设计,"['课程资源知识库平台', 'SSM框架', '知识图谱']"
基于SSM框架的室内定位导航系统,"['SSM框架', 'UWB技术', 'TDOA技术', '三维建模', '精确定位']"
城市快捷报修服务系统设计技术,"['HTML5', 'CSS3', 'Bootstrap', 'SSM框架', 'My Sql数据库']"
最小二乘法在医疗服务系统中的应用,"['最小二乘法', '模拟预测', '框架', '数学模型']"
智慧医疗管理平台的设计与实现,"['B/S架构', 'SSM', '微信小程序', 'MUI', 'MySQL数据库', '智慧医疗', '在线问询', '管理系统', 'Maven']"
SSM框架下的果蔬信息管理系统设计,"['SSM框架', '信息管理', 'B/S系统']"
离港前端软件升级系统的设计与实现,"['离港系统', '软件升级', 'Vue框架', 'SSM框架']"
基于人脸识别的实验室考勤系统,"['人脸识别', '实验室', '考勤系统', 'Emgu.CV']"
基于CNET和SSM框架的通信台站动环监控系统实现技术,"['动环监控', '元数据', 'C#.NET', 'SSM']"
基于SpringBoot微服务架构下前后端分离的MVVM模型浅析,"['SpringBoot技术', '微服务', '前后分离', 'MVVM模型', '数据驱动']"
基于敏捷开发的SSM Web应用开发措施,"['敏捷开发', 'SSM Web应用', '开发措施']"
基于SSM的农产品销售系统的设计与实现,"['JSP', '农产品', '网上销售系统', 'MySQL']"
基于Java Web的云边有个小菜园网站项目设计与实现,"['“互联网+”', 'Java Web网站', 'bootstrap框架', 'SSM框架']"
会员管理与备份系统的设计与实现,"['会员制', '会员管理与备份系统', '备份管理']"
基于LZWHuffman算法的Android平台数据传输系统实现,"['数据传输', '服务器', '安卓', 'SSM框架', '无损压缩']"
基于SSM框架的监考安排管理系统设计与实现,"['SSM框架', '监考安排管理系统', '教务']"
基于Android的校园购物系统的设计与实现,"['网上商城', '校园购物', 'Android', 'SSM框架']"
基于Docker与SSM的响应式图书馆平台的开发与部署,"['Docker', 'SSM', '图书馆', 'MongoDB', 'Nginx']"
基于Dubbo和Zookeeper的学校自助证明打印系统设计与实现,"['Zookeeper', 'Dubbo', 'SSM', '自助证明打印']"
基于SSM框架的数据结构在线评测系统设计与实现,"['在线评测', '信息管理', '数据结构']"
基于SSM的宠物店线上运营系统的设计与实现,"['SSM', 'UML', '宠物店运营', 'Android Studio']"
基于SSM框架的天学网一对一直播课管理系统的设计与实现,"['管理信息系统', '信息技术', 'SSM框架']"
基于智能车间的质量数据分析可视化平台,"['质量数据', '数据分析与可视化', '智能制造']"
智能门锁网络安全功能检测系统设计与实现,"['智能门锁', '检测系统', 'SSM框架', 'RFC算法']"
基于列车实时以太网络的动车组单车调试系统的设计与实现,"['列车实时以太网', '动车组调试', 'SSM框架']"
基于时速350kmh标准动车组单车调试系统的设计与实现,"['350km/h标准动车组', '单车调试', '多终端', 'Socket通信']"
Java EE应用开发框架课程内容的优化,"['Java EE应用开发框架', '软件教育', '课程内容优化', 'SSM教学']"
基于SSM框架的大米原料品质指标数据库平台的设计与实现,"['大米种类', '原料指标', '数据库', 'SSM', '集成框架']"
基于BS的高校党员信息管理系统设计与实现,"['高校党建', '便捷化', '信息管理', '系统', 'SSM']"
基于敏捷开发的SSM Web应用开发措施,"['敏捷开发', 'SSM Web应用', '开发措施']"
高等学校教师招聘系统设计与研究,"['高等学校', '教师招聘', 'SSM框架', '信息化']"
基于深度学习的鱼类智能识别系统的设计与实现,"['鱼类', '智能识别', '深度学习', 'EfficientNet', '设计与实现']"
SSM框架在Web应用开发中的设计与实现,"['SSM框架', 'Web开发', '实现']"
以Web技能竞赛为平台的软件技术专业教学改革研究,"['技能竞赛', '软件技术专业', '教学', '改革']"
基于SSM的化工技术电子商务平台的研究与实现,"['化工技术电商平台', '推荐算法', '相似度计算', '调节因子']"
基于卷积神经网络的风格迁移网站设计,"['快速风格迁移', 'JavaEE', '风格迁移网站', 'SSM框架']"
物联网框架的煤矿井下PDR定位系统的设计与实现,"['物联网', 'STM32', 'SSM框架', 'PDR', '实时监测']"
网联自动驾驶中隐私保护目标检测技术研究,"['网联自动驾驶车辆', '边缘协作', '隐私保护', '目标检测', '加性秘密共享']"
基于SSM的软件测试可视化实训平台的设计与实现,"['可视化', 'SSM框架', '系统开发', '软件测试']"
基于ObjectZ的业务逻辑Java代码自动生成器设计与实现,"['Object-Z语言', 'Java代码自动化生成', '软件开发']"
基于微服务架构的电商平台设计与实现,"['电商平台', '微服务架构', '推荐算法']"
互联网企业职级评审系统的设计与实现,"['职级评审', '场次分配', '状态机设计模式']"
基于神经网络的土壤重金属含量可视化预测系统的研究与实现,"['SSM后端框架', 'FastAPI后端框架', 'Vue前端框架', '并行鸟群优化算法(PBSA)', '人工神经网络', '数据预测']"
基于机器视觉的渔获追溯系统,"['机器视觉', '渔获追溯系统', 'Android', '渔获信息识别与对比']"
随机配置网络的结构优化研究,"['随机配置网络', '正交增量', '随机敏感度', '泛化性能']"
基于日志信息的数据监控与报警系统,"['数据监控', '精确报警', '智能预警', '多阈值分析', '指数平滑法']"
驾驶模拟实验室数据处理与分析系统的设计与实现,"['驾驶模拟', '行为分析', '数据可视化', 'SSM框架', '因子分析', 'K-means算法']"
风机叶片位姿监测系统设计,"['姿态解算', 'SSM框架', 'STM32', '无线通信', 'GPS定位']"
基于大数据的生产质量控制系统的研究,"['质量控制', '大数据', 'SPC', '随机森林']"
基于SSM的地铁站智慧管理系统的设计与实现,"['地铁站', 'MVC', 'SSM', '冷却水泵健康度', 'EPS健康度及剩余寿命']"
图像算法的自动化测试平台的设计与实现,"['自动化测试', '图像算法', '自动化调度', '持续集成', '设备调度']"
基于扎根理论的涉密人员保密胜任力模型研究,"['涉密人员', '胜任力', '扎根理论', '胜任力模型']"
海外游戏发行平台系统的设计与实现,"['游戏发行', '运营和投放', '数据', '监控', 'Activiti']"
病原微生物样本处理及孵育拍照系统的设计与实现,"['微生物检测', '病原微生物处理及孵育拍照系统', 'Netty']"
基于身份的多智能终端协同签名技术及应用,"['数字签名', '协同签名', '国密SM9算法', '秘密共享', '聚合签名']"
基于Hadoop的贷后监控系统的设计与实现,"['贷后监控', '数据采集上传', '高可用集群', '数据调阅管理']"
基于SSM框架的TDCSCTC综合监测维护系统,"['CTC', 'SSM框架', 'SNMP', '监测', 'SSH']"
身份识别算法验证和比较系统的设计与实现,"['身份识别', '身份证识别', '人脸比对', '算法验证', '线程池技术']"
市场监管平台数据归集子系统的设计与实现,"['监管', '数据归集', '微服务', 'SpringCloud', 'SSM框架']"
市场监督管理平台内部监管子系统的设计与实现,"['市场监管', '效率监管', 'SSM框架', '分布式服务', '面向切面编程', '日志服务']"
市场监督管理平台企业社会监管子系统的设计与实现,"['企业社会监管', '分层设计模式', '案件管理', 'SSM框架']"
市场监督管理平台中移动执法子系统的设计与实现,"['移动执法系统', 'Android', '照片处理', '视频处理', 'SSM框架']"
某高校电影交流论坛系统的设计与实现,"['学生', '电影交流', '电影信息', 'SSM框架']"
大白菜的性状数据采集系统的设计与实现,"['大白菜', '性状数据', 'Android技术', 'MVC架构']"
基于MVVM设计模式的在线教育系统的设计与实现,"['MVVM设计模式', 'Vue.js框架', '前后端分离', '在线教育']"
一种通用在线考试系统的设计,"['SSM框架', '在线考试系统', 'MySQL数据库']"
微信小程序垃圾分类小卫士,['nan']
融合活体人脸识别和位置检测的智能查寝系统,"['SSM', 'Android', '人脸识别', '位置检测', '智能查寝系统']"
基于SSM框架的学生生活服务平台的设计与实现,"['Spring', 'SpringMVC', 'MyBatis']"
深度生成模型学习算法的收敛性研究,"['深度生成模型', '收敛性', '控制理论', '后验正则化', '有限差分']"
基于SSM框架的订制农产品流通平台的设计与实现,"['订制农产品', '消息队列', '缓存', 'MD5加密']"
基于云计算的区域应急医疗物资保障信息管理平台研究与设计,"['应急医疗物资', '信息平台', 'SSM', '云计算']"
个性化音乐推荐系统,"['spring boot', '基于标签', '协同过滤', '兴趣迁移', '个性化推荐']"
基于SSM的播种作业质量在线监测服务系统设计,"['播种', '作业质量', 'SSM', '监测']"
基于分级强化加权相似性算法的推荐系统研究与实现,"['相似度', '分级权重', '加权相似性', '推荐系统', '协同过滤']"
基于深度学习的客流监测与预警系统的设计与实现,"['客流监测', '异常识别', '深度学习']"
分布式区域协同医学影像信息系统的设计与实现,"['医学影像数据', 'SSM框架', 'JPEG2000算法', '分布式存储']"
基于Java的高等教育国际化调查数据处理系统,"['Java', 'SSM框架', 'Vue', 'MySQL', 'Redis', 'Shiro']"
在线视频分享网站数据库设计,"['视频分享', 'B/S', 'MVC', 'SSM框架']"
