标题,关键字
预印本文献影响力评估系统的设计与实现,"['数据分析', '预印本文献', '文献搜索引擎', '自动化评估']"
基于领域驱动设计的银行存款业务核心系统设计与实现,"['银行存款业务', '领域驱动设计', 'Spring框架', 'MySQL', '领域层']"
空港口岸进口货物流水线处理系统的设计与实现,"['仓储管理', '数据报表', '3D可视化', 'SpringMVC框架', '前后端分离']"
基于SpringBoot卷烟工厂空调监测预警系统的设计与实现,"['Spring Boot', 'B/S', '监测系统']"
矿山光纤微震信号自动识别与定位技术研究与应用,"['微震监测', '初至波拾取', '震源定位', 'Web']"
基于启发式搜索算法的招标信息自动捕捉系统设计与实现,"['招标信息', '主题爬虫', '启发式搜索', '系统开发']"
基于大数据分析的智能电力监控平台技术研究与实现,"['电力监控', '大数据技术', 'LSTM', 'Spring Boot', 'Android一次图显示库']"
市场监督管理平台中投资建设项目监管子系统的设计与实现,"['互联网+', '投资建设', '联合监管', '软件工程', 'Spring框架']"
基于卷积神经网络的医学影像分割系统的设计与实现,"['卷积神经网络', '脑肿瘤分割', 'V-Net', 'Spring框架']"
心理量表构造及测评报告生成系统的设计与实现,"['心理量表构造', '测评结果计算', '测评报告生成', 'Spring框架']"
校园招聘面试计划管理系统的设计与实现,"['校园招聘', '面试计划', 'Spring框架', '电子协商']"
基于理工融合理念的通信原理课程考试系统设计,"['考试系统', 'MySQL数据库', 'Struts2框架', 'Spring框架', 'Hibernate框架']"
基于Web的隧道实时可视化管理系统设计与实现,"['B/S', 'WebGL', 'WebSocket', '可视化', '隧道管理系统']"
基于RESTful Web API服务架构的遥感影像检索技术研究,"['RESTful Web API', '遥感影像检索', 'Postgis', '前后端分离', 'Spring框架']"
工厂信息资源可视化及辅助决策系统的研究与实现,"['工厂信息', '数据可视化', 'ECharts', '辅助决策', '模糊层次分析法']"
基于学生行为分析的就业推荐系统的研究与实现,"['推荐系统', '就业推荐', '协同过滤', '行为分析']"
基于GIS的实时道路监测系统研发,"['GIS可视化', '大数据', '车流量', '图表展示']"
智能吊篮租赁信息管理系统服务器集群的实现及优化,"['高空作业吊篮', '服务器集群', 'Spring Boot框架', 'HDFS', 'Mycat']"
逆向工程技术在信息系统开发中的应用,"['逆向工程', '数据访问层', '系统开发', 'Spring框架', '企业应用']"
基于Spring框架的教学管理系统设计,"['Spring框架', '教学管理', 'JSON数据', '应用软件']"
SSM框架在Web应用开发中的设计与实现研究,"['SSM框架', 'Web应用开发', '设计', '实现']"
基于数据挖掘的新能源汽车远程监控管理系统研究,"['新能源汽车远程监控管理系统', '数据挖掘算法', '超速行为', '驾驶行为综合评价']"
成品设备采购模块的开发与运用,"['数据管理', '集成', '信息化']"
设备管理系统的软件架构,"['设备管理系统', '软件架构', '软件设计']"
基于SSM框架的高职学生实习管理系统设计与实现,"['管理系统设计', 'Spring框架', 'SSM框架', '信息系统']"
物业管理增值服务平台的设计研究,"['智能化', '二次指数平滑预测算法', 'Spring框架', '智慧']"
基于改进粒子群算法的机械零部件优化算法及系统研究,"['多目标优化', '粒子群算法', '拓扑结构', '可拓距', '外部档案']"
实现一种基于SSM框架的考试系统研究,"['SSM框架', '考试', '系统设计']"
基于协同过滤的个性化推送系统设计与实现,"['协同过滤', '推荐模型', '个性化推送']"
敏捷SDL开发模式下的轻量级保险管理系统构建,"['Spring框架', '敏捷SDL', '软件安全需求']"
基于SSM框架的新闻发布管理系统设计与实现,"['SSM框架', '新闻发布', '管理系统', 'B/S模式', 'Spring MVC框架', '数据库设计']"
电力智能营业厅综合服务平台设计与实现,"['智能营业厅', 'Spring框架', 'B/S结构', '图形图表支撑']"
基于Web的心理测评系统设计与实现,"['心理健康', '心理测评系统', '数据管理', '量表管理']"
智慧电梯云平台监控系统设计与实现,"['智慧电梯', '云平台', 'Spring框架', '界面设计']"
基于Spring框架的精准传播平台的设计与实现,"['Spring框架', '精准传播', '媒体融合']"
电力公司电力标准化作业管理系统的设计与实现,"['标准化作业', '电力', 'Java', 'Spring', 'MySQL']"
真空系统选型电子平台的设计与构建,"['真空系统', '选型平台', '真空吸着搬运系统', 'Spring技术']"
会展参展商管理系统设计与实现,"['会展', '参展商管理', 'Spring框架', 'UML建模']"
基于Spring的气象数据服务系统设计与实现,"['气象', '数据服务系统', 'Spring框架', 'REST', 'Web服务']"
基于Spring的开源GIS城市管网的系统设计,"['城市管网系统', 'Spring', 'WebGIS', 'GeoTools']"
非实时视频面试系统中面试管理子系统的设计与实现,"['视频面试系统', '微信小程序', '微服务', 'Spring Boot框架', 'MyBatis框架']"
智慧医疗服务平台后端服务模块的设计与实现,"['智慧医疗', '微服务', 'SpringCloud', 'SpringBoot']"
一种轻量级的多层Web应用架构研究及使用,"['轻量级', 'PCBADM架构', 'Spring框架', 'Web应用系统', '开发效率']"
谈项目教学法在SSM框架技术课程中的应用和研究,"['SSM框架技术', '项目教学法', '教学活动']"
基于Spring框架的气象探测设备监控系统设计与实现,"['气象设备', '监控运维', 'Spring MVC', 'Spring框架']"
基于Spring Boot框架的车辆寄售后台系统的设计与实现,"['车辆寄售', 'Spring Boot框架', 'Hibernate框架', 'Redis缓存']"
基于SSM框架的资产证券化系统的设计与实现,"['资产证券化', 'SSM框架', '证券管理', '资产筛选']"
基于Spring的网上银行支付系统的设计与实现,"['网上银行', '数据加密/解密', 'Spring框架', '支付']"
动车组单车调试系统及单车定位管理系统的设计与实现,"['单车调试', 'RFID定位', 'SSM框架', '数据驱动']"
基于JAVA的家装APP的开发,"['JAVA', 'Spring框架', 'Spring Boot框架', '移动端在线设计', '家装设计']"
基于Spring的门禁系统架构设计与实现,"['门禁系统', 'Spring', '可扩展性']"
基于SSH框架的空管设备运维系统的设计,['nan']
智慧管廊运维管理平台即时通信模块的设计与实现,"['智慧管廊', '即时通信', '文字交流', '文件传输', '音视频会话']"
基于spring的融媒体管理系统研究与设计,"['媒体融合', 'Java', 'Spring MVC', '管理系统']"
华为XEN云平台管控系统中虚拟专有网和运维管理模块的设计与实现,"['云计算', '虚拟化', '虚拟专有网', '运维管理']"
基于Red5流媒体服务器的视频无线传输系统设计,"['Red5流媒体服务器', 'Spring框架', '小程序']"
基于潜在相关性评级模型的推荐系统研究与实现,"['LDA模型', '余弦相似性', '特征权重', '特征评级', '推荐系统']"
基于图数据库Neo4j的信用卡反欺诈系统的设计与实现,"['金融反欺诈', '信用卡反欺诈', '图数据库', 'Neo4j']"
基于HSM的空基应用后台服务集成策略研究,"['服务集成', '资源共享', '订单系统', '后台服务接口', '架构设计']"
通用软件接口测试平台的设计与实现,"['测试平台', '接口测试', '软件质量']"
基于SSM的复杂环境下交通安全速度预测系统设计与实现,"['公路交通系统', '公路交通安全', '复杂环境', '安全速度预测', 'SSM框架']"
基于回归模型的医疗大数据分析预测系统的设计与实现,"['医疗大数据', '数据分析', '数据预测', 'HBase', 'Hadoop']"
电梯维保远程监控系统的研究与设计,"['电梯维保', 'C4.5决策树', '电梯故障预测', 'Java', 'BP神经网络']"
智能仓储系统关键技术研究与实现,"['仓储管理', 'Spring Boot', '任务拆分', '货位分配', '条码识别']"
智能仓储移动管理平台的设计与实现,"['智能仓储', '仓储管理', '移动管理', '智能制造']"
一站式学生离校管理系统的设计与实现,"['学生离校', '软件工程', '信息化', '离校手续']"
基于Spring架构的智能在线阅读平台研究与设计,"['在线阅读', 'Spring框架', '数据库', '随机抽取']"
基于J2EE的新媒体管理平台运营数据实时分析系统研究与设计,"['一键发文', '数据采集', '实时分析', 'Spring框架']"
基于SpringBoot的EAST实验数据存储监控系统,"['MDSplus', '监控', '数据存储', '数据处理', 'SpringBoot']"
某监狱罪犯综合管理系统的设计与实现,"['监狱', '信息化建设', '罪犯管理', 'Spring Boot', 'MyBatis']"
面向NFV的运维系统的设计与实现,"['Kafka', 'Gauss DB', 'React', 'Spring Boot框架']"
警用话单分析软件的设计与实现,"['案件侦破', '话单分析', '云计算', '数据挖掘', '大数据']"
基于Spring和RFID的实验教学管理系统的设计与实现,"['实验教学', 'Spring框架', 'RFID', 'MySQL数据库', 'Redis缓存', '一致性哈希算法']"
核电站变形监测信息管理系统设计与实现,"['核电站', '变形监测', '数据管理', 'SSM', '分析预报', '数据迁移']"
基于电子地图的宽带营销管理系统设计与实现,"['宽带营销管理', '电子地图', 'Java', '百度地图JavaScript API', '营销管理系统']"
基于优先级的智能排课系统的研究与实现,"['优先级算法', '智能排课系统', '回溯算法', 'Spring框架']"
中国银行积分兑换系统的设计与实现,"['积分兑换', 'JAVA', 'Spring MVC', 'Mybatis']"
基于随机森林算法的运维监控平台的设计与实现,"['运维监控平台', '随机森林算法', '故障预警']"
基于SSM的轴承选配与出入库管理系统的设计与实现,"['流水线', '信息化', '一体化', '自动选配']"
基于Spark的数据质量监管系统设计与实现,"['质量监管', '数据清洗', '质量监控', 'DataCleaner']"
一种智能车站的消息总线研究与设计,"['智能车站', '微服务', '数据共享', 'SpringBoot', 'Kafka']"
基于SSM的软件行业质量检测服务平台的设计与实现,"['Spring框架', '质量检测', '高并发']"
基于SSM的分布式商城的设计与实现,"['SSM框架', '分布式', '电子商城']"
基于云服务的矿山超前地质预报数据管理和分析系统,"['超前地质预报', '瞬变电磁法', '数据预处理', '数据管理', '云服务']"
精神分裂症多维度信息管理系统的设计与实现,"['精神分裂症', '多维度信息管理系统', '临床大数据', 'B/S', 'MySQL']"
基于SSH2框架的Web系统综合研究,"['SSH', 'JSP', 'MVC', '框架']"
NBIoT路内停车管理系统的研究与实现,"['NB-IoT', '停车管理系统', 'Spring Boot', 'Vue.js', 'RabbitMQ']"
基于SSM框架的某供电公司工程项目管理系统设计与实现,"['工程项目管理', 'SSM框架', 'Spring', 'SpringMVC', 'MyBatis']"
基于Spring框架的精准营销平台开发与实现,"['精准营销', 'Spring框架', 'FSDP框架', '客户标签']"
电子科技大学学生资助系统的设计与实现,"['学生资助系统', '学生资助评估', '学生管理系统', 'Spring框架']"
中国近代农业团体专题数据库系统的研究与实现,"['专题数据库', 'JavaEE', '立体化检索', '文本嵌入', '个性化推荐']"
仓储物流的货位作业优化算法及系统研究,"['货位优化', '差分进化', '多帧时间窗', 'B样条参数化']"
基于SSM的外聘人员人事管理系统设计与实现,"['外聘人员管理', '人事管理系统', 'Java EE', '框架']"
基于云计算的运输车监控管理系统的设计及在冷链物流中的应用,"['车联网平台', '云技术', 'Netty', '数据可视化', '实时通信']"
基于WEB船舶货运与配载集成平台的设计与实现,"['WEB', '船舶货运', '浮态', 'Java', '装载计算机']"
基于Kinect的三维人脸识别系统及其在医保审核中的应用,"['Kinect v2', '三维人脸识别', 'RGB-D图像', '医保审核']"
智慧社区的环境监测与分析系统设计,"['传感器技术', '机器学习技术', 'Spring boot', 'Vue.js框架']"
主数据管理平台在信息化建设中的应用,"['主数据', '管理平台']"
学生德育分数管理系统的创意,"['JSP技术', 'MySQL数据库', 'Spring框架', 'SpringMvc框架', 'Hibernate框架', '学生德育分数管理']"
远程监控太阳能参数软件的开发与应用,"['太阳能供电系统', '传输', '网络化']"
环境数据中心平台的研究,"['大数据', '数据收集', '数据分析', '环境污染']"
面向园区的智慧环境管理与评价系统,"['智慧环境', '环境管理', '环境绩效', '评价模型', '工业园区']"
基于SSM框架的语音管理平台的设计与开发,"['SSM框架', '语音管理', 'Vue框架', 'MySQL', '数据']"
一种水质预测与监测平台的设计与实现,"['水质监测', '水质预测', 'Spring', '插值算法']"
小议基于SSM的水电站设备管理系统的设计及实现,"['水电站设备管理系统', 'MVC设计', 'Spring+SpringMVC+Mybatis框架']"
基于微信小程序的K12在线教育助学系统设计与实现,"['微信小程序', 'Spring Boot', '在线教育', '助学系统']"
Spring架构下的安全机制研究与应用,"['Spring', '身份认证', '权限控制', 'JWT', 'Spring Security', 'RBAC']"
基于Spring Boot的小区物业综合服务系统的设计与实现,"['居民小区', '物业管理', '物业综合服务']"
基于SSM企业级框架的微信公众平台构建以航拍服务号为例,"['SSM企业级框架', '微信公众平台', '系统构建', '航拍服务']"
基于Uniapp的移动集团专线售前支撑系统的设计与实现,"['集团客户', '专线接入', '微信小程序', 'Uni-app框架', 'SpringBoot框架', 'Mybatis框架']"
协同工作平台的设计与实现,"['协同工作平台', 'CSCW', 'Docker', 'SSM', '容器']"
城建档案一体化安全管理系统设计与实现,"['档案一体化', '安全管理', 'Java EE', 'SSM']"
基于Struts框架具有自动推荐功能的网上购书系统,"['自动推荐', '网上图书订购', 'Java EE开发', 'Struts框架', 'Spring框架']"
基于工作流技术的消防监督管理系统设计与实现,"['消防监督', 'SSH框架', '工作流技术', '火灾隐患']"
基于工作流技术的招商管理系统设计与实现,"['招商管理', 'SSH框架', '工作流技术', '信息化技术']"
以经典SSH架构为基础的电力营销服务系统设计研究,"['SSH架构', '电力营销', '服务系统', '设计']"
基于SSM的职工食堂二维码餐票管理系统的实现,"['SSM', '职工食堂', '二维码', '餐票', '管理系统']"
基于spring MVC的学生信息管理系统,"['Spring框架', 'Spring MVC', '学生信息管理']"
基于RBAC和MAC的党建系统设计与实现,"['党建系统', '安全问题', 'RBAC', 'MAC', 'Spring框架']"
企业营销管理系统的设计与实现,"['营销管理', '商户', 'B/S', '报表']"
基于SpringBootSSM框架的Web应用系统搭建与实现,"['SpringBoot框架', 'SSM框架', 'Web应用系统', '功能实现']"
数字电视图书馆的应用,"['数字电视图书馆', '语音朗读', '多屏互动', 'Spring框架']"
基于BIM平台的电力工程造价管理系统的设计与实现,"['电力工程', '造价管理', 'BIM技术', 'Spring技术', 'MVC框架']"
警用高精尖装备管理平台的开发与实现,"['警用装备管理', '高精尖装备', 'RFID技术', 'Spring框架']"
基于eGo商城系统的设计与实现,"['eGo商城系统', '商品管理', '定购商品', 'B/S模式']"
基于SSM框架的试题库与考试系统设计与实现,"['SSM框架', '试题库', '网络考试']"
面向裁判文书的文本标注系统的设计与实现,"['文书标注', 'MySQL', 'Spring MVC', 'Mybatis', '逆向匹配']"
基于SSM架构的高校智能报修管理系统设计与实现,"['SSM', '智慧校园', '智能报修系统']"
基于SpringMVCMyBatis信息传播共享平台的设计与实现,"['信息传播共享平台', 'Spring框架', 'SpringMVC框架', 'MyBatis框架', 'B/S体系结构']"
基于Mirth平台的医院Web Service接口设计与应用,"['医院信息系统', 'Mirth平台', 'Web Service', 'Spring', 'JDBC', 'Oracle']"
农产品安全质量追溯系统的设计与实现,"['农产品', '追溯系统', '条码技术', 'MVC', 'Rijndael算法', 'MD5算法']"
保护隐私的老年人迷失帮助平台的设计与实现,"['保护隐私', '老年人迷失', '前后端分离', 'Spring Boot', 'Android']"
基于BS架构的交互式增强现实教学辅助系统的研究与设计,"['增强现实', '图像处理', '手部识别定位', 'Web技术', '教学辅助系统']"
基于工作流的高校体育场地云信息管理系统的设计与开发,"['工作流引擎', '体育场地', '申请审核', '云技术', '管理系统']"
基于工作流技术的施工管理系统研究与实现,"['施工管理', '工作流技术', '电力行业', '柔性管理', '流程配置']"
基于Spring框架的客服系统的设计与实现,"['工单系统', 'IVR技术', '电话销售系统', 'SSM框架', '客服系统']"
手机银行系统的设计与实现,"['手机银行系统', '微信银行', 'Spring框架', '安全机制']"
智能仓储管理系统的设计与实现,"['仓库管理', '智能仓储', 'SSM', '多AGV冲突预防']"
某网络视频监控系统的设计与实现,"['视频节目', '节目预警', '高危人员预警', '信息采集']"
工程项目立项审批系统的设计与实现,"['电子政务', 'Spring框架', 'Shiro']"
基于GPS电子围栏的煤场装载系统的研究,"['监控系统', '电子围栏', 'GPS技术', '煤炭运输']"
面向新工科教育的工业互联网在线实验平台设计与实现,"['新工科', '工业互联网', '故障预测和健康管理', '实验平台']"
基于推荐算法的妇幼保健服务系统的设计与实现,"['电子档案系统', '在线预约系统', '消息推荐系统', '基于内容的推荐算法', '协同过滤的推荐算法']"
金融服务开放平台的设计与实现,"['金融服务开放平台', '可扩展性强', '核心控制器', '业务需求', '数据字典']"
商品条码印刷资格认定管理系统的设计与实现,"['资格认定', '安全登录', 'Activiti', '可扩展性', 'Tengine']"
基于Android的生鲜农产品商城的设计与实现,"['Android', '生鲜农产品', '商城']"
基于SSM的宠物店信息系统的设计与实现,"['SSM', '模块化开发', '宠物商城', '信息系统']"
电子卷宗智能编目系统的设计与实现,"['智能编目', '模式识别', '图片分类', 'TensorFlow', '迁移学习']"
法院预约与公告系统的设计与实现,"['Spring Boot', 'MVC', '预约', '公告']"
天津法院审判委员会系统的设计与实现,"['审判委员会', 'Spring', 'Web应用', '法院信息化']"
法院数据应用平台系统的设计与实现,"['数据应用', 'Spring框架', '并发', 'Hibernate框架']"
法院数据交换管理平台的设计与实现,"['数据交换', '接口', '密钥', '权限认证', 'MVC模式', 'Spring框架']"
诉讼费系统的设计与实现,"['诉讼费', 'Spring Boot框架', 'MVC模式', 'Spring Data JPA框架', 'Vue框架']"
裁判文书检索与推荐系统的设计与实现,"['裁判文书', 'MVC', 'Spring', 'Elasticsearch', 'LDA']"
法院案例工作平台系统的设计与实现,"['MVC模式', 'Spring框架', 'SpringMVC', 'MyBatis', '指导案例']"
法院综合送达管理系统的设计与实现,"['送达', 'SpringBoot框架', 'Vue.js框架', 'Mybatis框架']"
南京市企业信息动态监测和管理系统的设计与实现,"['企业信息监测', 'Spring框架', 'MyBatis', '数据仓库']"
鼓楼医院神经内科医疗数据分析系统的设计与实现,"['神经内科', '医疗', 'Spring', 'React', 'Hibernate']"
基于微信小程序的教辅系统的设计与实现,"['教辅系统', 'Spring Boot', 'Vue.js', 'Spring Data JPA', '微信小程序']"
智能装备WCS总控管理系统的设计与实现,"['智能仓储', 'AGV', '路径规划', 'Mina通信', '任务调度']"
基于BS的保障性住房建设与管理信息系统的设计与实现,"['保障性住房', '管理系统', 'B/S架构', '推荐系统', '梯度提升回归树']"
医学影像云存储系统的设计与实现,"['HDFS', 'HBase Zookeeper', 'DICOM3.0标准', 'ActiveMq']"
家庭农场生产履历信息管理系统的设计与实现,"['家庭农场', '生产履历', '产品溯源', 'Java', 'MySQL']"
基于Dubbo分布式架构网上商城的研究与实现,"['网上商城', '分布式架构', 'Dubbo', 'Spring']"
基于SSM框架的电力公司在线客服系统的设计与实现,"['电力公司', '在线客服', 'SSM', 'J2EE', 'Web网页']"
商业银行信用卡风险管理系统设计与实现,"['JavaEE技术', 'SSM框架', '信用卡风险管理']"
华融黄金投资项目管理系统设计与实现,"['黄金', '项目管理系统', '软件开发', '统计查询']"
基于价值中心法的web评估决策信息系统的设计与实现,"['价值中心法', '评估决策信息系统', 'Java Web技术']"
基于SSM框架的高校科研管理系统设计与实现,"['Spring MVC', 'Spring', 'MyBatis', '科研管理']"
基于SSH框架的教学管理系统的设计与实现,"['SSH框架', '教学管理系统', '教学信息化']"
BS架构测震设备信息管理平台的设计与实现,"['信息管理', 'B/S结构', 'Spring框架', 'Jsp', 'jQuery', 'Ajax']"
基于Spring MVC架构的档案管理系统设计与实现,"['档案管理', 'Spring框架', '全文检索技术', '分布式文件系统', 'Shiro框架']"
智能综合实验室管理系统设计,"['智能实验室', '管理系统', '射频识别', '监控系统', 'Spring框架', '系统设计']"
基于Spring框架的甘肃电大云教室运维管理系统设计与实现,"['云教室', 'Spring', '教学资源', '远程教育', '运维管理系统']"
基于JSP的在线购物系统,"['在线购物系统', 'JSP', 'B/S结构']"
浅析Java SSH框架,"['Java Web', 'SSH框架', '设计模式']"
基于区块链的投票系统的设计与开发,"['区块链', '投票系统', '去中心化', '数据不可篡改']"
基于SSH框架的网络维护和优化管理系统设计与实现,"['网络维护', '优化', 'MVC', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
Spring框架中IOC的实现,"['控制反转', 'IOC', 'Spring']"
基于Spring框架户外广告管理平台的设计与实现,"['户外广告管理', 'Spring框架', 'UML2.0', '管理信息系统']"
RESTful架构在Web Service中的应用,"['RESTful', 'Spring', 'Web服务', '仓库管理']"
智能综合实验室管理系统设计,"['智能实验室', '管理系统', '射频识别', '监控系统', 'Spring框架', '系统设计']"
基于Spring框架的甘肃电大云教室运维管理系统设计与实现,"['云教室', 'Spring', '教学资源', '远程教育', '运维管理系统']"
基于JSP的在线购物系统,"['在线购物系统', 'JSP', 'B/S结构']"
浅析Java SSH框架,"['Java Web', 'SSH框架', '设计模式']"
基于区块链的投票系统的设计与开发,"['区块链', '投票系统', '去中心化', '数据不可篡改']"
基于SSH框架的网络维护和优化管理系统设计与实现,"['网络维护', '优化', 'MVC', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
Spring框架中IOC的实现,"['控制反转', 'IOC', 'Spring']"
基于Spring框架户外广告管理平台的设计与实现,"['户外广告管理', 'Spring框架', 'UML2.0', '管理信息系统']"
RESTful架构在Web Service中的应用,"['RESTful', 'Spring', 'Web服务', '仓库管理']"
整合ESMSH框架的Java EE应用架构,"['JavaEE架构', 'Easy UI框架', 'Spring MVC框架', 'Spring框架', 'Hibernate框架']"
国家电网全面风险管理与内部控制信息系统的设计与实现,"['全面风险管理', '内部控制', 'B/S体系结构', 'Spring框架']"
基于BS架构资源管理系统设计与实现,"['资源管理', 'B/S架构', 'Java编程', 'SSH框架']"
基于web的学生管理系统研究,"['信息化管理', 'Java', 'Spring框架', 'Hibernate框架']"
基于前后端分离技术的电厂信息管理系统后台程序开发,"['电厂管理信息系统', 'SSM框架', '后台程序', '前后端分离']"
一种基于ES2SH框架的Java EE应用架构,"['Java EE应用', 'Easy UI框架', 'Struts 2框架', 'Spring框架', 'Hibernate框架']"
西计电磁兼容与环境检测实验室管理系统分析与设计,"['实验室管理系统', '面向对象系统开发方法', 'B/S模式', 'SSH架构', 'MySQL数据库']"
基于BS模式的云校阅卷系统的设计与实现,"['云校阅卷', '在线阅卷', 'B/S模式', '阅卷管理', '考试管理']"
基于SSM企业级框架的微信公众平台构建以航拍服务号为例,"['SSM企业级框架', '微信公众平台', '系统构建', '航拍服务']"
国家电网基建一体化信息管理系统的设计与实现,"['基建一体化', '智能电网', 'SSH架构', '工作流引擎']"
电力呼叫中心管理系统的设计与实现,"['电力呼叫管理系统', 'SSH框架', '坐席管理', '语音下载']"
基于XML和Spring框架的参数化建模,"['Tribon M3', 'AM12', '生产设计', 'XML技术', 'Spring框架']"
基于Spring的数据库访问技术研究,"['Spring', '数据库', '技术研究']"
基于SSH的服装展示平台设计与实现,"['服装展示', 'SSH技术', '设计与实现', '可扩展性', '购买率']"
基于SpringSpringMVChibernate框架的Web系统设计与实现,"['Spring', 'SpringMVC', 'hibernate', 'Web系统', '功能实现']"
基于WorkFlow的监狱办公事务管理系统设计与实现,"['办公事务管理', 'SSH', '工作流技术', '无纸化办公']"
基于BS架构的油田生产数据管理系统应用研究,"['B/S架构', '上位机', '元数据', '数据库']"
基于Spring Boot的高校部门测评系统的设计与实现,"['Java', 'Spring', 'Spring Boot', '部门测评']"
基于SSM框架的Web系统研究与应用,"['SSM框架', 'Web系统', '架构设计', '应用研究']"
基于Spring框架的汽车租赁系统分析与设计,"['Browser/Server结构', '汽车租赁', 'Oracle11g', 'Spring框架']"
移动多媒体广告分发系统的架构设计,"['Spring框架', 'J2EE', '分布式系统', '多媒体广告分发']"
基于Hadoop的关键词寻量监控系统设计与实现,"['定向广告', '寻量监控', 'Hadoop', 'Spring框架']"
基于SSH框架的视频教学系统的开发与设计,"['SSH框架', '视频教学系统', 'B/S结构', 'Java语言', 'Hibernate框架', 'Spring框架']"
WIS服务监视门户的设计与实现,"['WMO信息系统', '监视门户', 'JSON', 'Spring框架', 'MongoDB']"
基于Java EE多层框架的实时监测系统设计与实现,"['Java EE', 'Hibermate框架', '多层框架', '实时监测系统']"
扫描与遗传组合算法在快递揽收信息系统中的应用研究,"['快递揽收', '信息系统', '扫描算法', '遗传算法', '路径规划']"
基于机器成像的动车受电弓及走行部故障检测系统的设计与实现,"['受电弓及走行部', '数据采集', '故障识别', 'Spring', 'ThriftRPC']"
Eclipse插件技术在加速器控制系统中的应用,"['控制系统', 'Eclipse插件', 'CSS', '迭代开发模式', 'Spring框架']"
基于Zabbix的云监控系统的设计与实现,"['云监控', 'Zabbix', '安全运营']"
高校学生专业能力评估系统的设计与实现,"['学生评估', '工程设计', '数据挖掘', '聚类算法']"
基于SSH框架的图书销售与推荐系统的设计与实现,"['SSH框架', '图书销售', 'LFM算法', 'Java', '电子商务', '推荐算法']"
基于MVC模式的车载服务平台监控管理系统研究,"['MVC', 'SSM框架', '监控管理']"
基于流程引擎的高校网上办事大厅研究与实现,"['高校网上办事大厅', '流程平台', '表单工具', 'Activiti5']"
电子商城系统中订单模块与秒杀模块的设计与实现,"['电子商城', '订单模块', '秒杀模块', 'Spring框架', 'MyBatis框架', 'ZooKeeper框架', 'Dubbo框架', '负载均衡Nginx']"
