标题,关键字
基于SpringBoot和Vue的友为交流社区的设计与实现,"['SpringBoot', '交流社区', '专业性', '标签', '性能']"
基于嵌入式与SpringBoot技术的生理参数监测系统的软件设计与实现,"['生理参数', '嵌入式', '人脸识别', 'SpringBoot', 'Qt软件设计']"
基于微服务架构的高并发电商系统设计与实现,"['电子商城', '微服务架构', '分布式锁', 'SpringBoot', 'SpringCloud', 'Redis']"
基于区块链的博物馆数据溯源系统的设计与实现,"['区块链', '超级账本', '藏品溯源', 'SpringBoot', 'Vue', '双模存储方式']"
基于SpringBoot的电商秒杀系统的设计与实现,"['SpringBoot框架', '高并发', 'Redis', '多级缓存']"
基于模型融合的电机远程监测与诊断系统研究,"['远程监测', '故障诊断', '模型融合', 'SpringBoot', 'Android']"
基于web的盾构施工信息管理系统开发,"['盾构施工', '信息管理系统', '风险管理', 'SpringBoot', 'Vue']"
智能核酸检测信息管理平台的设计与实现,"['互联网+医疗健康', '核酸检测系统', 'Springboot']"
化疗科病情关怀系统的设计与实现,"['互联网+医疗', '医疗信息化', 'SpringBoot', '微信小程序']"
面向大规模定制生产模式的全流程可视监管系统设计与实现,"['大规模定制', '可视化', '监管系统', 'SpringBoot']"
地质勘查数据采集系统的设计与实现,"['地质勘查', '数据采集', '质量监管', 'SSM框架', 'SpringBoot']"
基于uniappSpringBoot的移动智能办公系统设计与实现,"['办公系统', '微信平台', 'uni-app框架', 'SpringBoot框架', 'Shiro和JWT技术']"
云通信中消息交互系统的设计与实现,"['云通信', '消息交互', '服务端', '终端', 'SIP']"
基于SpringBoot的民主测评系统的设计与实现,"['国有企业', '民主测评', '考核', 'B/S架构']"
基于微服务SpringBoot的干部综合管理平台的设计与实现,"['管理系统', '微服务', 'Spring Boot', '干部信息', '权限管理']"
水土保持监测平台业务信息子系统的设计与实现,"['水土保持监测', '信息管理系统', 'SpringBoot', 'Vue.js']"
基于SpringBoot的星级党员考评系统,"['SpringBoot框架', 'vue', '党员考评', '分析报告']"
基于SpringBoot的高校教材管理系统的设计与实现,"['教材管理', '系统设计', 'SpringBoot']"
基于SpringBoot的分布式市政运维分析平台,"['分布开发', '市政大数据', 'SpringBoot', '数据分析']"
施工安全数字化管控平台的设计与实现,"['施工安全', '施工安全LCB理论', '目标检测', '安全帽佩戴检测']"
面向图像检测自适应推断方法系统设计与实现,"['图像识别', '深度学习', 'Pytorch', 'SpringBoot', '自适应模型']"
基于SpringBoot的肉类品质管理系统的设计与实现,"['SpringBoot', '肉类品质', '实时系统', 'MySQL', '智能检测']"
基于SpringBoot的汽车维修企业智能化管理系统的设计与实现,"['信息化', 'SpringBoot', '汽车服务', '车流量预测']"
在线陪伴学习系统的设计与实现,"['在线陪伴学习', '直播间', '线上自习室', '协同过滤算法', 'SpringBoot']"
基于Android系统的青少年AI骨龄评估系统开发,"['骨龄评估', 'Android', 'Springboot框架', '系统开发']"
面向小学数学教学的导学素材检索系统设计与实现,"['知识图谱', 'Neo4j图数据库', '导学素材', '文本检索', '系统设计与实现']"
农村污水处理的管控一体化系统设计及应用,"['管控一体化', '污水处理', '农村污水', 'MySQL', 'SpringBoot', 'S7-300 PLC']"
一种高效可靠的安全管理机制的实现方法,"['安全管理机制', '权限管理', 'Shiro', 'JWT']"
基于物联网的医疗设备综合管理系统设计与实现,"['医疗设备', '物联网', 'kafka分布式集群', 'SpringBoot框架', '综合管理']"
基于SpringBoot的场车定员定位云服务管理系统设计与开发,"['场车', '定员定位', 'SpringBoot框架', 'Vue框架']"
基于SaaS模式的人力资源管理系统开发,"['SaaS模式', '人力资源管理', 'SpringBoot框架', '微服务']"
基于ModbusTCP协议的电力数据监测与分析系统的设计与实现,"['Modbus/TCP', '实时监测', '二级索引', '统计分析', 'SpringBoot']"
基于SpringBoot和Vue框架的创新方法推理系统的设计与实现,"['TRIZ理论', '文本语义匹配', 'ESIM', '数据动态交互', 'SpringBoot', 'Vue']"
基于TkinterSpringBoot的云票务平台检测系统研究,"['云票务平台', 'Tkinter', 'SpringBoot框架', '前后端分离', '系统检测']"
代领快递抢单微信小程序运用分析,"['校园快递', '快递代取', '微信小程序', 'SpringBoot']"
基于SpringBootVue新冠疫苗接种全过程管理系统,"['新冠疫苗接种', '全过程管理', 'SpringBoot框架', 'Vue框架']"
基于SpringBoot的垃圾分类科普及课程平台,"['垃圾分类', '科普', 'SpringBoot', '课程']"
基于图像识别的智慧餐饮管理系统,"['智慧餐饮管理系统', '计算机视觉', '推荐系统', 'SpringBoot']"
基于物联网平台的数据可视化系统设计与实现,"['可视化系统', '电梯物联网', 'SpringBoot', 'Vuejs']"
基于SpringBootMybatis的驾校预约系统设计与实现,"['驾校练车预约系统', 'Java Web技术', 'SpringBoot框架', 'Mybatis框架']"
基于SpringBoot框架的智慧医疗问诊系统设计与实现,"['智慧医疗', '信息化', '问诊系统']"
基于知识图谱的肿瘤决策支持系统设计与实现,"['知识图谱', '肿瘤疾病诊断', '决策支持系统', '自然语言处理']"
基于Springboot微信小程序用户管理系统设计,"['微信小程序', '腾讯云', 'Springboot', 'Web服务器', '用户管理']"
基于UML的知识分享系统设计与实现,"['面向对象系统设计', 'Springboot', '知识分享', 'UML建模']"
ALearning基于多端一体化架构的企业培训系统设计与实现,"['在线教育', '在线考试', 'MVC', 'SpringBoot']"
装备仓库管理系统的设计与实现,"['仓库管理系统', 'SpringBoot', 'reids', 'MyBatis', 'AGV']"
基于Activiti工作流管理平台的研究,"['工作流', '业务流程', 'Activiti', '应用系统', '耦合度']"
基于SpringBoot的评价预警系统设计与实现,"['作业管理', '匿名互评', '智能预警', '教学辅助']"
前后端分离的校园闲置物品交易平台开发,"['闲置物品', '二手交易', 'Springboot', 'Vue.js', '前后端分离']"
基于Java的公务员备考微信小程序,"['公考', '多元化', 'SpringBoot', '效率', '兴趣']"
基于安卓系统的智慧公益平台研究与实现,"['Android', '后台', '志愿', '接口', '数据']"
基于SpringCloud微服务构架的局域网智能管理系统设计,"['局域网智能管理系统', 'SpringCloud', '微服务系统构架', 'Docker']"
物联网设备故障检测系统设计与实现,"['物联网设备', '故障检测', '故障反馈', 'SpringBoot', 'Redis', 'MongoDB']"
满文档案图像智能处理系统设计与实现,"['满文档案', '智能处理系统', '微服务', 'SpringBoot', 'SpringCloud']"
基于SpringBoot的高职院校校外实训基地管理系统设计与实现,"['校企合作', '信息化管理', '校外实训基地']"
基于Springboot和Vue框架的考试资源服务平台的设计与实现,"['考试信息共享服务平台', 'Vue', 'SpringBoot', 'Mysql']"
基于SpringBoot的线上商城平台设计,"['Java', 'Spring', 'SpringBoot', 'Vue', '商城']"
基于SpringBoot微服务架构下前后端分离的MVVM模型,"['SpringBoot', '微服务', '前后端分离', 'MVVM模型']"
基于SpringBootAdminLTE3的博客管理系统设计与实现,"['博客', 'SpringBoot', 'AdminLTE3']"
基于spring boot微服务架构的RS10系统管理,"['SpringBoot', 'IoC', 'AoP', 'ExtJS', 'RS10', '系统管理']"
装备制造业跨境电商平台设计及运营模式研究,"['装备制造业', '跨境电商', '互联网+', '“一带一路”', '振兴东北']"
中医住院病案首页诊疗信息质控系统设计与实现,"['中医病案首页', '质量控制', '诊疗信息', '数据校验']"
智能鱼类信息共享平台的构建,"['MongoDB', '鱼类信息', '共享平台', '人工智能']"
智慧楼宇管理系统的设计与实现,"['智慧楼宇', '管理系统', 'SpringBoot', '人工智能']"
基于SpringBoot和Vue框架的邯郸市现代农业园区信息管理系统的研发,"['农业园区', '农业信息化', 'B/S', 'SpringBoot框架', 'Vue框架', 'Mybatis-plus']"
学习能力分析评价系统设计与实现,"['在线学习', '能力导向', '评价', '软件工程', 'SpringBoot']"
基于MVVM框架的汽车销售管理系统设计与实现,"['汽车销售管理系统', 'MVVM框架', 'SpringBoot', 'Vue']"
智能烹饪小助手的设计与实现,"['微信小程序', '美食推荐平台', '图片识别', '菜谱管理', '小程序设计']"
基于SpringBoot框架与ITIL方法的运维管理系统的设计与实现,"['运维管理', 'ITIL', 'Spring Boot']"
基于SpringBoot的电力设备巡检系统的设计与实现,"['设备巡检', '信息系统', 'SpringBoot', '火电设备', '蓝牙定位']"
人脸识别智慧课堂管理系统,['nan']
基于SpringBoot的信保系统的分析与设计,"['信用保险', '保证保险', '投保']"
基于SpringBoot和Vue框架的数据库原理网站设计与实现,"['数据库原理', '网站', 'SpringBoot', 'Vue', 'SQL Server']"
基于Flutter的云笔记系统,"['云笔记', 'SpringBoot', 'Flutter', 'Dubbo']"
一种基于SpringBoot架构下的水质监测系统设计,"['水质监控', '微服务', '互联网监控', 'SpringBoot', 'MQTT', 'Vue']"
校园兼职平台的设计与实现,"['信息技术', '计算机系统', '数据库']"
基于SpringBoot的缺陷管理系统设计与实现,"['缺陷管理', 'SpringBoot', '系统设计', '软件测试']"
SpringBoot OPC客户端设计与研究,['nan']
基于SpringBoot的地方高校软件工程专业建设管理系统的设计与实现,"['SpringBoot', 'MyBatis-plus', '地方高校', '软件工程专业建设管理系统']"
SpringBoot项目中EhCache缓存技术的实现,"['SpringBoot项目', 'EhCache', '缓存技术']"
SpringBoot项目中EhCache缓存技术的实现,"['SpringBoot项目', 'EhCache', '缓存技术']"
毕业设计在线答辩系统设计与实现,"['在线答辩', 'Springboot', '毕业设计', '概念数据模型', '持久层框架', '分布式系统']"
基于SpringBoot的成绩排名系统,"['信息统计', 'Java', 'SpringBoot', 'Thymeleaf', 'My Batis']"
一种与课堂网络无关的高校考勤系统的设计与实现,"['VSTO', 'SpingBoot', 'Vue', '考勤']"
大学生DIY创意厨房系统的设计与实现,"['微信小程序', '前后端分离', 'SpringBoot']"
基于SpringBoot的智慧就业服务平台的设计与实现,"['计算机科学与技术', '就业服务', 'SpringBoot', 'SpringSecurity', 'Vue']"
基于SpringBoot的开放式软件开发案例教学平台设计,"['SpringBoot', '软件开发', '教学案例', 'Vue', '开放式']"
基于SpringbootVue的精准帮扶系统研究与实现,"['Spring', '帮扶系统', '数据可视化']"
基于GIS的景区应急救援系统,"['GIS', '应急救援', '系统设计']"
基于SpringBoot的Web快速开发框架,"['Web框架', '构件技术', 'SpringBoot框架', '博客系统']"
基于传感器的智能盆栽养护系统的设计和实现,"['迁移学习', '单片机', '传感器', '微信小程序', 'SpringBoot']"
基于SpringBoot的智慧变电站监测及诊断系统,"['智慧变电站', '状态监测', '诊断算法', 'SpringBoot']"
基于Springboot的高校智能排课系统的设计与实现,"['智能排课系统', 'Springboot', 'Vue', 'ElementUI', '可视化']"
高校IT技术论坛系统的设计与实现,"['IT技术论坛', '系统设计', 'Java开发', 'SpringBoot']"
基于spark技术的心脏病预测平台研究与设计,"['心脏病', 'spark', 'HDFS', 'Web服务器', 'SpringBoot', 'Mysql']"
基于Android的个性化旅游路线规划系统设计与实现,"['Android', 'SpringBoot', 'Mybatis', '个性化旅游', 'TSP']"
基于行为特征识别的大学生心理测试微信小程序设计与实现,"['行为识别', '心理测试', 'Springboot框架', '微信小程序']"
住院病案首页患者基本信息质控系统设计与实现,"['住院病案首页数据质量控制', '医院信息化', '数据校验', 'SpringBoot', 'SpringMVC', 'MyBatis', 'Shiro']"
基于SpringBoot微服务架构下前后端分离的MVVM模型浅析,"['SpringBoot技术', '微服务', '前后分离', 'MVVM模型', '数据驱动']"
基于微信小程序音乐短视频系统的设计与实现,"['微信小程序', '音乐短视频', 'SpringBoot']"
基于Android的校园快递配送系统的研究与设计,"['校园快递', 'Android', 'SpringBoot', 'Android Studio', '小程序']"
基于SpringBoot的高新技术企业创新能力评价平台设计与实现,"['高新技术企业', '信息化管理', 'SpringBoot']"
基于PBFT算法的区块链学历认证系统,"['区块链', '智能合约', 'SpringBoot', '拜占庭算法']"
基于JPlag与Springboot的代码查重云系统,"['云系统', '数据可视化', '代码查重']"
